level,gender,prefer,uv
1,0,0:0.9012^1:0.0988,300000
1,1,0:0.8569^1:0.1431,100000
2,0,0:0.9078^1:0.0922,800000
2,1,0:0.8677^1:0.1323,300000
3,0,0:0.8997^1:0.1003,1000000
3,1,0:0.8622^1:0.1378,300000
4,0,0:0.8791^1:0.1209,1000000
4,1,0:0.8464^1:0.1536,300000
5,0,0:0.8396^1:0.1604,600000
5,1,0:0.8223^1:0.1777,200000
